paloma.ponctuel@yopmail.com;0;1;1;2;nancy;metz;-P2M;08:00;;;;;;;;;;;;;;;;;;;;;;;
paloma.ponctuel@yopmail.com;0;0;1;2;nancy;thionville;-P1M15D;07:30;-P1M15D;08:00;;;;;;;;;;;;;;;;;;;;;
paloma.ponctuel@yopmail.com;0;1;1;2;nancy;amnéville;+P15D;08:30;;;;;;;;;;;;;;;;;;;;;;;
paloma.ponctuel@yopmail.com;0;0;1;2;nancy;montigny les metz;+P1M;08:15;+P1M;18:30;;;;;;;;;;;;;;;;;;;;;
colin.ponctuel@yopmail.com;0;0;1;1;laxou;woippy;-P2M;07:50;-P2M;17:30;;;;;;;;;;;;;;;;;;;;;
colin.ponctuel@yopmail.com;0;0;1;1;laxou;amnéville;-P1M15D;07:15;-P1M15D;18:00;;;;;;;;;;;;;;;;;;;;;
colin.ponctuel@yopmail.com;0;1;1;1;laxou;thionville;+P15D;07:45;;;;;;;;;;;;;;;;;;;;;;;
colin.ponctuel@yopmail.com;0;0;1;1;48 boulevard emile zola laxou;14 rue de la gare woippy;+P1M;08:00;+P1M;19:00;;;;;;;;;;;;;;;;;;;;;
cora-paloma.ponctuel@yopmail.com;0;0;1;3;villers les nancy;metz;-P2M;07:45;-P2M;18:00;;;;;;;;;;;;;;;;;;;;;
cora-paloma.ponctuel@yopmail.com;0;0;1;3;villers les nancy;amnéville;-P1M15D;07:45;-P1M15D;18:15;;;;;;;;;;;;;;;;;;;;;
cora-paloma.ponctuel@yopmail.com;0;0;1;3;villers les nancy;metz;+P15D;07:30;+P15D;17:45;;;;;;;;;;;;;;;;;;;;;
cora-paloma.ponctuel@yopmail.com;0;0;1;3;villers les nancy;metz;+P1M;07:50;+P1M;17:50;;;;;;;;;;;;;;;;;;;;;
paco.regulier@yopmail.com;0;0;2;2;ludres;essey les nancy;-P4M;;+P6M;;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;0;;;0;;
cora.regulier@yopmail.com;0;0;2;1;houdemont;seichamps;-P6M;;+P4M;;1;07:40;18:00;1;07:40;18:00;0;;;1;07:40;18:00;1;07:40;18:00;0;;;0;;
colin-paco.regulier@yopmail.com;0;0;2;3;fléville devant nancy;pulnoy;+P0D;;+P1Y;;1;07:30;17:30;1;07:30;17:30;1;07:30;13:30;1;07:30;17:30;1;11:30;17:30;0;;;0;;
paloma.varie@yopmail.com;0;1;1;2;tomblaine;richardmenil;-P6M;14:00;;;;;;;;;;;;;;;;;;;;;;;
paloma.varie@yopmail.com;0;1;1;2;tomblaine;strasbourg;-P5M;08:20;;;;;;;;;;;;;;;;;;;;;;;
paloma.varie@yopmail.com;0;0;1;2;tomblaine;langres;-P2M;07:15;-P2M;14:00;;;;;;;;;;;;;;;;;;;;;	
paloma.varie@yopmail.com;0;1;1;2;tomblaine;aix en provence;+P15D;06:00;;;;;;;;;;;;;;;;;;;;;;;
paloma.varie@yopmail.com;0;1;1;2;nancy;lyon;+P1M;07:00;;;;;;;;;;;;;;;;;;;;;;;
paloma.varie@yopmail.com;0;0;2;2;tomblaine;vandoeuvre chu;-P1M;;+P11M;;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;1;07:45;17:45;0;;;0;;
colin.varie@yopmail.com;0;0;1;1;essey les nancy;strasbourg;-P5M;07:15;-P5M;19:00;;;;;;;;;;;;;;;;;;;;;
colin.varie@yopmail.com;0;1;1;1;nancy;metz;-P2M;14:00;;;;;;;;;;;;;;;;;;;;;;;
colin.varie@yopmail.com;0;0;2;1;essey les nancy;agincourt;-P1M;;+P11M;;1;07:30;18:05;1;07:30;18:05;1;07:30;18:05;1;07:30;18:05;1;07:30;18:05;0;;;0;;
cora-paloma.varie@yopmail.com;0;1;1;3;dommartemont;epinal;-P2Y;08:50;;;;;;;;;;;;;;;;;;;;;;;
cora-paloma.varie@yopmail.com;0;0;1;3;dommartemont;metz;-P6M;09:00;-P6M;16:30;;;;;;;;;;;;;;;;;;;;;
cora-paloma.varie@yopmail.com;0;0;1;3;nancy;langres;-P4M;06:00;-P4M;20:00;;;;;;;;;;;;;;;;;;;;;
cora-paloma.varie@yopmail.com;0;0;1;3;dommartemont;toul;-P1D;07:00;-P1D;12:00;;;;;;;;;;;;;;;;;;;;;
cora-paloma.varie@yopmail.com;0;0;1;3;dommartemont;epinal;+P10D;10:00;+P10D;17:00;;;;;;;;;;;;;;;;;;;;;
cora-paloma.varie@yopmail.com;0;0;2;3;dommartemont;vandoeuvre chu;+P1M;;+P13M;;1;07:25;17:30;1;07:25;17:30;1;07:25;17:30;1;07:25;17:30;1;07:25;17:30;0;;;0;;
cora-paloma.varie@yopmail.com;0;0;2;3;dommartemont;laxou;+P2M;;+P6M;;0;;;0;;;0;;;0;;;0;;;1;10:00;14:00;0;;
rechad.okaz@yopmail.com;1;1;1;2;thionville;metz;-P7M;14:00;;;;;;;;;;;;;;;;;;;;;;;
rechad.okaz@yopmail.com;1;1;1;2;metz;thionville;-P4M;09:00;;;;;;;;;;;;;;;;;;;;;;;
rechad.okaz@yopmail.com;1;1;1;2;thionville;amneville;-P1M;;10:00;;;;;;;;;;;;;;;;;;;;;;
rechad.okaz@yopmail.com;1;1;1;2;thionville;montigny les metz;+P7D;09:45;;;;;;;;;;;;;;;;;;;;;;;	
regina.regula@yopmail.com;1;2;2;2;guenange;arsenal metz;+P0D;;+P12M;;1;;;1;;;1;;;1;;;1;;;1;;;1;;
kelly.lajeune@yopmail.com;0;1;1;2;nancy;metz;+P14D;18:00;;;;;;;;;;;;;;;;;;;;;;;
