paloma.ponctuel@yopmail.com;Paloma;Ponctuel;1;1994-10-12;0601020304;Paloma123;Nancy;3;0
colin.ponctuel@yopmail.com;Colin;Ponctuel;2;1993-09-10;0602030405;Colin123;Laxou;3;0
cora-paloma.ponctuel@yopmail.com;Cora-Paloma;Ponctuel;1;1992-02-05;0603040506;Cora123;Villers-lès-nancy;3;0
paco.regulier@yopmail.com;Paco;Régulier;3;1998-06-15;0604050607;Paco123;Ludres;3;0
cora.regulier@yopmail.com;Cora;Régulier;1;2002-08-26;0605060708;Cora123;Houdemont;3;0
colin-paco.regulier@yopmail.com;Colin-Paco;Régulier;2;2002-09-06;0606070809;Colin123;Fléville-devant-nancy;3;0
paloma.varie@yopmail.com;Paloma;Varie;1;1985-06-16;0607080910;Paloma123;Tomblaine;3;0
colin.varie@yopmail.com;Colin;Varie;2;1984-02-01;0608091011;Colin123;Essey-lès-nancy;3;0
cora-paloma.varie@yopmail.com;Cora-Paloma;Varie;3;1992-10-31;0609101112;Cora123;Dommartemont;3;0
rechad.okaz@yopmail.com;Rechad;Okaz;2;1990-03-19;0610111213;Rechad123;Thionville;3;0
regina.regula@yopmail.com;Regina;Regula;1;1987-09-26;0611121314;Regina123;Guénange;3;0
corentin.keroual@mobicoop.org;Corentin;Keroual;2;2000-01-01;0612131415;Corentin123;Metz;2;1
umberto.picaldi@mobicoop.org;Umberto;Picaldi;2;2001-02-01;0613141516;Umberto123;Woippy;3;1
kelly.lajeune@yopmail.com;Kelly;Lajeune;1;2004-03-05;0614151617;Kelly123;Montigny-lès-Metz;3;0
ophelie.solidaire@yopmail.com;Ophélie;Solidaire;1;1989-07-03;0606030606;Ophelie123;Nancy;10;0
bertrand.solidaire@yopmail.com;Bertrand;Solidaire;2;1953-07-15;0616138606;Bertrand123;Cerville;172;0
valerie.solidaire@yopmail.com;Valérie;Solidaire;1;1982-06-19;0694856677;Valerie123;Nancy;171;0
huguette.higuma@mobicoop.org;Huguette;Higuma;1;1969-05-17;0698745123;Huguette123;Paris;3;1
jeremi.bruyere@mobicoop.org;Jérémi;Bruyère;2;2002-11-12;0632154789;Jeremi123;Bruyères;3;1
operateur.mobipa@yopmail.fr;Opérateur;Mobipa;2;1980-01-01;0608075950;Operateur123;Vif;3;0
denis.passagermobipa@yopmail.fr;Denis;PassagerMobiPA;2;1950-02-02;0608075950;Denis123;Vif;3;0
emilia.passagermobipa@yopmail.fr;Emilia;PassagerMobiPA;1;1950-02-02;0608075950;Emilia123;Vif;3;0
olivia.conducteurmobipa@yopmail.fr;Olivia;ConducteurMobiPA;1;1980-03-03;0608075950;Olivia123;Vif;11;0
gaetan.conducteurmobipa@yopmail.fr;Gaëtan;ConducteurMobiPA;2;1980-04-04;0608075950;Gaetan123;Vizille;171;0
autoecole.conducteurmobipa@yopmail.fr;Autoecole;ConducteurMobiPA;2;1980-04-04;0608075950;Autoecole123;Vizille;3;0
rachid.autoecolemobipa@yopmail.fr;Rachid;AutoecoleMobiPA;2;1980-04-04;0608075950;Rachid123;Vizille;3;0
camille.autoecolemobipa@yopmail.fr;Camille;AutoecoleMobiPA;2;1980-04-04;0608075950;Camille123;Vizille;3;0
